A.Thirumuruganpoondi
A.Vellalapatti
Aadityana
Aambaliyasan
Aantaliya
Aarambhada
Abhayapuri
Abiramam
Abohar
Abrama
Abu Road
Achabal
Achalpur
Achampudur
Acharapakkam
Acharipallam
Achhalda
Achhnera
Achipatti
Adalaj
Adampur
Adari
Adikaratti
Adilabad
Adiramapattinam
Adityapatna
Adityapur
Adoni
Adoor
Adra
Aduthurai alias Maruthuvakudi
Adyar
Afzalgarh
Afzalpur
Agar
Agaram
Agartala
Agarwal Mandi
Agastheeswaram
Agra
Agra
Ahiwara
Ahmadnagar
Ahmadnagar
Ahmadpur
Ahmadpur
Ahmedabad
Ahmedabad Cantonment
Ahmedgarh
Ahraura
Aiho
Ailum
Air Force Area
Aistala
Aizawl
Ajaigarh
Ajhuwa
Ajmer
Ajnala
Ajra
Akalgarh
Akaltara
Akathiyoor
Akbarpur
Akbarpur
Akhnoor
Akkalkot
Akkarampalle
Akkayapalle
Aklera
Akoda
Akodia
Akola
Akot
Alagappapuram
Alampalayam
Alampur
Aland
Alandi
Alandur
Alang
Alanganallur
Alangayam
Alangudi
Alangulam
Alangulam
Alanthurai
Alapakkam
Alappuzha
Alawalpur
Aldona
Ali Pur
Alibag
Aliganj
Aligarh
Alipurduar
Alipurduar Rly.Jnc.
Alirajpur
Allahabad
Allahabad
Allahganj
Allapur
Allapuram
Almora
Almora
Alnavar
Along
Alot
Alpur
Alur
Alur
Aluva
Alwal
Alwar
Alwarkurichi
Alwarthirunagiri
Amadalavalasa
Amalapuram
Amalner
Amanganj
Amanpur
Amarkantak
Amarpatan
Amarpur
Amarpur
Amarwara
Ambad
Ambada
Ambagarh Chowki
Ambah
Ambaji
